"12824: Elektrisitetsbalanse (MWh), etter produksjon og forbruk, måned og statistikkvariabel"

"produksjon og forbruk";"måned";"Elektrisk kraft"
"01 Total produksjon av elektrisk kraft";"2010M01";14825249
"01 Total produksjon av elektrisk kraft";"2010M02";12624913
"01 Total produksjon av elektrisk kraft";"2010M03";11229016
"01 Total produksjon av elektrisk kraft";"2010M04";8708195
"01 Total produksjon av elektrisk kraft";"2010M05";7599771
"01 Total produksjon av elektrisk kraft";"2010M06";7016890
"01 Total produksjon av elektrisk kraft";"2010M07";8072563
"01 Total produksjon av elektrisk kraft";"2010M08";7884353
"01 Total produksjon av elektrisk kraft";"2010M09";8888843
"01 Total produksjon av elektrisk kraft";"2010M10";11349305
"01 Total produksjon av elektrisk kraft";"2010M11";12180809
"01 Total produksjon av elektrisk kraft";"2010M12";14067491
"01 Total produksjon av elektrisk kraft";"2011M01";11271047
"01 Total produksjon av elektrisk kraft";"2011M02";10550937
"01 Total produksjon av elektrisk kraft";"2011M03";10151019
"01 Total produksjon av elektrisk kraft";"2011M04";8433751
"01 Total produksjon av elektrisk kraft";"2011M05";8642885
"01 Total produksjon av elektrisk kraft";"2011M06";9356959
"01 Total produksjon av elektrisk kraft";"2011M07";10542100
"01 Total produksjon av elektrisk kraft";"2011M08";10494922
"01 Total produksjon av elektrisk kraft";"2011M09";10429241
"01 Total produksjon av elektrisk kraft";"2011M10";12177208
"01 Total produksjon av elektrisk kraft";"2011M11";13089656
"01 Total produksjon av elektrisk kraft";"2011M12";13004706
"01 Total produksjon av elektrisk kraft";"2012M01";15428126
"01 Total produksjon av elektrisk kraft";"2012M02";14431042
"01 Total produksjon av elektrisk kraft";"2012M03";12880484
"01 Total produksjon av elektrisk kraft";"2012M04";12081388
"01 Total produksjon av elektrisk kraft";"2012M05";11160986
"01 Total produksjon av elektrisk kraft";"2012M06";10457735
"01 Total produksjon av elektrisk kraft";"2012M07";10309882
"01 Total produksjon av elektrisk kraft";"2012M08";11066601
"01 Total produksjon av elektrisk kraft";"2012M09";10904347
"01 Total produksjon av elektrisk kraft";"2012M10";12210650
"01 Total produksjon av elektrisk kraft";"2012M11";12294855
"01 Total produksjon av elektrisk kraft";"2012M12";14619472
"01 Total produksjon av elektrisk kraft";"2013M01";14605924
"01 Total produksjon av elektrisk kraft";"2013M02";12424998
"01 Total produksjon av elektrisk kraft";"2013M03";12307742
"01 Total produksjon av elektrisk kraft";"2013M04";9476016
"01 Total produksjon av elektrisk kraft";"2013M05";9790438
"01 Total produksjon av elektrisk kraft";"2013M06";9635758
"01 Total produksjon av elektrisk kraft";"2013M07";9739494
"01 Total produksjon av elektrisk kraft";"2013M08";10139708
"01 Total produksjon av elektrisk kraft";"2013M09";9886723
"01 Total produksjon av elektrisk kraft";"2013M10";10876630
"01 Total produksjon av elektrisk kraft";"2013M11";12228997
"01 Total produksjon av elektrisk kraft";"2013M12";13127459
"01 Total produksjon av elektrisk kraft";"2014M01";14643007
"01 Total produksjon av elektrisk kraft";"2014M02";11864749
"01 Total produksjon av elektrisk kraft";"2014M03";12259180
"01 Total produksjon av elektrisk kraft";"2014M04";11541796
"01 Total produksjon av elektrisk kraft";"2014M05";11323462
"01 Total produksjon av elektrisk kraft";"2014M06";10719430
"01 Total produksjon av elektrisk kraft";"2014M07";10207971
"01 Total produksjon av elektrisk kraft";"2014M08";9815623
"01 Total produksjon av elektrisk kraft";"2014M09";10552424
"01 Total produksjon av elektrisk kraft";"2014M10";11869710
"01 Total produksjon av elektrisk kraft";"2014M11";13123292
"01 Total produksjon av elektrisk kraft";"2014M12";14406368
"01 Total produksjon av elektrisk kraft";"2015M01";14768029
"01 Total produksjon av elektrisk kraft";"2015M02";12871304
"01 Total produksjon av elektrisk kraft";"2015M03";13175526
"01 Total produksjon av elektrisk kraft";"2015M04";11013423
"01 Total produksjon av elektrisk kraft";"2015M05";10928296
"01 Total produksjon av elektrisk kraft";"2015M06";11090433
"01 Total produksjon av elektrisk kraft";"2015M07";10192871
