,Days NO to DE,Days DE to NO,CO2,Norwegian Balance,Norwegian export
0,41.0,4.0,107.8074482801774,2.071613663242407,6.2852331584434005
1,46.0,0.0,119.80869595251751,3.9368359409911537,9.719963578618069
2,36.0,1.0,113.36730498684065,-1.6890406141736736,4.6034478207437495
3,33.0,3.0,128.05323427398653,-1.5997244355000166,4.722731462816431
4,38.0,3.0,118.12109914417185,2.6034689825828004,6.34673887741434
5,31.0,6.0,115.70648604785865,0.7302659365592606,3.6502085999278804
6,23.0,3.0,117.3578426080634,-3.5063436323068338,3.3548039054588727
7,31.0,3.0,118.0891120678213,-1.3567600309265229,5.242293090523127
8,27.0,2.0,117.35751635446415,-1.5217249394548298,4.534069376594581
9,41.0,1.0,110.21755151474194,0.9332988001415138,7.657548748986899
10,41.0,1.0,118.28330836776787,0.4976132341823573,6.843901015330642
11,38.0,3.0,106.19741771633707,2.49402882177404,6.676486661673014
12,25.0,2.0,122.81190083742023,-3.5716178477752654,3.566413333763235
13,29.0,3.0,125.62025036730208,-1.156353154002612,4.222748004027259
14,34.0,4.0,121.26277071346603,0.26765658977242723,3.634237349581493
15,37.0,2.0,125.30918973770783,-0.28277763806837775,5.317994055849332
16,31.0,0.0,127.38600201872534,-2.790901170209146,4.547246609596955
17,41.0,2.0,119.78813243785473,2.30563849092595,7.324336078719783
18,32.0,2.0,107.87205771341995,-0.8667585758934259,4.906084489793033
19,36.0,2.0,121.18125742495658,1.3449450773262643,6.399195319412461
20,30.0,2.0,121.57136269496911,-1.7480762128143892,4.224074680269884
21,40.0,1.0,129.55464571136451,1.8221995358110743,7.760815568900831
22,34.0,1.0,122.92576062661853,0.9970015886929496,6.267643135331245
23,38.0,2.0,121.5929306040574,-0.0896834104763302,4.707382383761263
24,41.0,4.0,105.43716558892798,4.097557914656706,7.0453783659772515
25,35.0,1.0,115.24148263055268,-0.7529221436760893,6.499372136763618
26,36.0,1.0,130.00031589386475,-0.30037500804384054,6.286746018235675
27,39.0,1.0,120.61558029614373,-0.36714660528502846,6.029849664118169
28,33.0,1.0,123.8818685112821,-1.8585041139926868,5.346607486932074
29,32.0,1.0,116.36686599085051,-1.8825347462948065,4.420197843765564
30,28.0,3.0,117.02458606761485,-1.681691981232997,4.699389224931004
31,36.0,1.0,106.36359370052992,0.6287464219279504,6.422525898601646
32,31.0,3.0,117.99605468629987,-1.1395786445002847,3.828007817014484
33,39.0,1.0,118.73094960922836,0.7537208300215211,5.394806245768202
34,25.0,4.0,115.98067786994177,-1.930771825306073,3.977071496401087
35,38.0,4.0,106.24487018637723,2.429000914189857,6.024360644374235
36,42.0,3.0,110.2713443687099,0.5965591598904927,5.933384530799361
37,32.0,3.0,107.13978930289673,-0.6790238304473208,5.030611575768331
