12824: Elektrisitetsbalanse (MWh), etter produksjon og forbruk, måned og statistikkvariabel;;
;;
produksjon og forbruk;måned;Elektrisk kraft
01.01 Vannkraft;2015M06;10631017
01.01 Vannkraft;2015M07;9773733
01.01 Vannkraft;2015M08;10273233
01.01 Vannkraft;2015M09;10721754
01.01 Vannkraft;2015M10;11496478
01.01 Vannkraft;2015M11;12657293
01.01 Vannkraft;2015M12;13335506
01.01 Vannkraft;2016M01;15834861
01.01 Vannkraft;2016M02;13608131
01.01 Vannkraft;2016M03;13856537
01.01 Vannkraft;2016M04;11257556
01.01 Vannkraft;2016M05;10889267
01.01 Vannkraft;2016M06;10660561
01.01 Vannkraft;2016M07;9952279
01.01 Vannkraft;2016M08;9949918
01.01 Vannkraft;2016M09;10180388
01.01 Vannkraft;2016M10;11648805
01.01 Vannkraft;2016M11;12652249
01.01 Vannkraft;2016M12;13514754
01.01 Vannkraft;2017M01;14737330
01.01 Vannkraft;2017M02;12667724
01.01 Vannkraft;2017M03;12264196
01.01 Vannkraft;2017M04;11058537
01.01 Vannkraft;2017M05;10874085
01.01 Vannkraft;2017M06;10671504
01.01 Vannkraft;2017M07;10189374
01.01 Vannkraft;2017M08;10638498
01.01 Vannkraft;2017M09;10827917
01.01 Vannkraft;2017M10;11748096
01.01 Vannkraft;2017M11;13106785
01.01 Vannkraft;2017M12;14211921
01.01 Vannkraft;2018M01;14966904
01.01 Vannkraft;2018M02;14252555
01.01 Vannkraft;2018M03;13477906
01.01 Vannkraft;2018M04;10037426
01.01 Vannkraft;2018M05;9757635
01.01 Vannkraft;2018M06;9165049
01.01 Vannkraft;2018M07;8896670
01.01 Vannkraft;2018M08;10027285
01.01 Vannkraft;2018M09;10528726
01.01 Vannkraft;2018M10;12507962
01.01 Vannkraft;2018M11;12932163
01.01 Vannkraft;2018M12;12961540
01.01 Vannkraft;2019M01;13880701
01.01 Vannkraft;2019M02;10991055
01.01 Vannkraft;2019M03;10477292
01.01 Vannkraft;2019M04;9342332
01.01 Vannkraft;2019M05;9168288
01.01 Vannkraft;2019M06;8847070
01.01 Vannkraft;2019M07;9233706
01.01 Vannkraft;2019M08;9511438
01.01 Vannkraft;2019M09;10178611
01.01 Vannkraft;2019M10;10800207
01.01 Vannkraft;2019M11;12075504
01.01 Vannkraft;2019M12;11289732
01.01 Vannkraft;2020M01;12018606
01.01 Vannkraft;2020M02;11806300
01.01 Vannkraft;2020M03;13010771
01.01 Vannkraft;2020M04;11616737
01.01 Vannkraft;2020M05;11282714
01.01 Vannkraft;2020M06;9995953
